date,lon,lat,elev,snow
2011-11-01,118.562,-37.162,10200.0,0.27
2011-11-02,118.562,-37.162,10200.0,0.35
2011-11-03,118.562,-37.162,10200.0,0.29
2011-11-04,118.562,-37.162,10200.0,0.43
2011-11-05,118.562,-37.162,10200.0,0.74
2011-11-06,118.562,-37.162,10200.0,0.78
2011-11-07,118.562,-37.162,10200.0,0.95
2011-11-08,118.562,-37.162,10200.0,1.06
2011-11-09,118.562,-37.162,10200.0,1.11
2011-11-10,118.562,-37.162,10200.0,1.06
2011-11-11,118.562,-37.162,10200.0,0.99
2011-11-12,118.562,-37.162,10200.0,1.53
2011-11-13,118.562,-37.162,10200.0,1.51
2011-11-14,118.562,-37.162,10200.0,1.51
2011-11-15,118.562,-37.162,10200.0,1.44
2011-11-16,118.562,-37.162,10200.0,1.42
2011-11-17,118.562,-37.162,10200.0,1.45
2011-11-18,118.562,-37.162,10200.0,1.46
2011-11-19,118.562,-37.162,10200.0,1.51
2011-11-20,118.562,-37.162,10200.0,1.52
2011-11-21,118.562,-37.162,10200.0,1.91
2011-11-22,118.562,-37.162,10200.0,1.89
2011-11-23,118.562,-37.162,10200.0,1.83
2011-11-24,118.562,-37.162,10200.0,1.78
2011-11-25,118.562,-37.162,10200.0,1.79
2011-11-26,118.562,-37.162,10200.0,1.79
2011-11-27,118.562,-37.162,10200.0,1.78
2011-11-28,118.562,-37.162,10200.0,1.7
2011-11-29,118.562,-37.162,10200.0,1.7
2011-11-30,118.562,-37.162,10200.0,1.67
2011-12-01,118.562,-37.162,10200.0,1.73
2011-12-02,118.562,-37.162,10200.0,1.96
2011-12-03,118.562,-37.162,10200.0,1.95
2011-12-04,118.562,-37.162,10200.0,1.86
2011-12-05,118.562,-37.162,10200.0,
2011-12-06,118.562,-37.162,10200.0,1.89
2011-12-07,118.562,-37.162,10200.0,1.87
2011-12-08,118.562,-37.162,10200.0,1.89
2011-12-09,118.562,-37.162,10200.0,1.93
2011-12-10,118.562,-37.162,10200.0,1.92
2011-12-11,118.562,-37.162,10200.0,1.91
2011-12-12,118.562,-37.162,10200.0,1.91
2011-12-13,118.562,-37.162,10200.0,1.87
2011-12-14,118.562,-37.162,10200.0,1.91
2011-12-15,118.562,-37.162,10200.0,1.8
2011-12-16,118.562,-37.162,10200.0,1.78
2011-12-17,118.562,-37.162,10200.0,1.88
2011-12-18,118.562,-37.162,10200.0,1.85
2011-12-19,118.562,-37.162,10200.0,1.92
2011-12-20,118.562,-37.162,10200.0,1.99
2011-12-21,118.562,-37.162,10200.0,1.92
2011-12-22,118.562,-37.162,10200.0,2.04
2011-12-23,118.562,-37.162,10200.0,1.97
2011-12-24,118.562,-37.162,10200.0,1.94
2011-12-25,118.562,-37.162,10200.0,1.9
2011-12-26,118.562,-37.162,10200.0,1.87
2011-12-27,118.562,-37.162,10200.0,1.84
2011-12-28,118.562,-37.162,10200.0,1.83
2011-12-29,118.562,-37.162,10200.0,1.83
2011-12-30,118.562,-37.162,10200.0,1.89
2011-12-31,118.562,-37.162,10200.0,1.84
2012-01-01,118.562,-37.162,10200.0,1.78
2012-01-02,118.562,-37.162,10200.0,1.76
2012-01-03,118.562,-37.162,10200.0,1.75
2012-01-04,118.562,-37.162,10200.0,1.67
2012-01-05,118.562,-37.162,10200.0,1.63
2012-01-06,118.562,-37.162,10200.0,1.55
2012-01-07,118.562,-37.162,10200.0,1.67
2012-01-08,118.562,-37.162,10200.0,1.65
2012-01-09,118.562,-37.162,10200.0,1.63
2012-01-10,118.562,-37.162,10200.0,1.63
2012-01-11,118.562,-37.162,10200.0,1.63
2012-01-12,118.562,-37.162,10200.0,1.64
2012-01-13,118.562,-37.162,10200.0,1.64
2012-01-14,118.562,-37.162,10200.0,1.65
2012-01-15,118.562,-37.162,10200.0,1.46
2012-01-16,118.562,-37.162,10200.0,1.65
2012-01-17,118.562,-37.162,10200.0,1.48
2012-01-18,118.562,-37.162,10200.0,1.14
2012-01-19,118.562,-37.162,10200.0,1.31
2012-01-20,118.562,-37.162,10200.0,1.16
2012-01-21,118.562,-37.162,10200.0,1.48
2012-01-22,118.562,-37.162,10200.0,3.08
2012-01-23,118.562,-37.162,10200.0,3.42
2012-01-24,118.562,-37.162,10200.0,4.46
2012-01-25,118.562,-37.162,10200.0,4.48
2012-01-26,118.562,-37.162,10200.0,4.49
2012-01-27,118.562,-37.162,10200.0,4.5
2012-01-28,118.562,-37.162,10200.0,4.5
2012-01-29,118.562,-37.162,10200.0,4.59
2012-01-30,118.562,-37.162,10200.0,4.55
2012-01-31,118.562,-37.162,10200.0,4.54
2012-02-01,118.562,-37.162,10200.0,4.52
2012-02-02,118.562,-37.162,10200.0,4.52
2012-02-03,118.562,-37.162,10200.0,4.53
2012-02-04,118.562,-37.162,10200.0,4.56
2012-02-05,118.562,-37.162,10200.0,4.58
2012-02-06,118.562,-37.162,10200.0,4.54
2012-02-07,118.562,-37.162,10200.0,4.47
2012-02-08,118.562,-37.162,10200.0,4.45
2012-02-09,118.562,-37.162,10200.0,4.47
2012-02-10,118.562,-37.162,10200.0,4.49
2012-02-11,118.562,-37.162,10200.0,4.44
2012-02-12,118.562,-37.162,10200.0,4.46
2012-02-13,118.562,-37.162,10200.0,4.51
2012-02-14,118.562,-37.162,10200.0,4.72
2012-02-15,118.562,-37.162,10200.0,4.74
2012-02-16,118.562,-37.162,10200.0,4.83
2012-02-17,118.562,-37.162,10200.0,4.84
2012-02-18,118.562,-37.162,10200.0,4.85
2012-02-19,118.562,-37.162,10200.0,4.91
2012-02-20,118.562,-37.162,10200.0,4.9
2012-02-21,118.562,-37.162,10200.0,4.88
2012-02-22,118.562,-37.162,10200.0,4.88
2012-02-23,118.562,-37.162,10200.0,4.88
2012-02-24,118.562,-37.162,10200.0,4.87
2012-02-25,118.562,-37.162,10200.0,4.87
2012-02-26,118.562,-37.162,10200.0,4.86
2012-02-27,118.562,-37.162,10200.0,4.85
2012-02-28,118.562,-37.162,10200.0,5.06
2012-02-29,118.562,-37.162,10200.0,5.06
2012-03-01,118.562,-37.162,10200.0,5.31
2012-03-02,118.562,-37.162,10200.0,5.28
2012-03-03,118.562,-37.162,10200.0,5.28
2012-03-04,118.562,-37.162,10200.0,5.25
2012-03-05,118.562,-37.162,10200.0,5.22
2012-03-06,118.562,-37.162,10200.0,5.22
2012-03-07,118.562,-37.162,10200.0,5.43
2012-03-08,118.562,-37.162,10200.0,5.41
2012-03-09,118.562,-37.162,10200.0,5.39
2012-03-10,118.562,-37.162,10200.0,5.38
2012-03-11,118.562,-37.162,10200.0,5.35
2012-03-12,118.562,-37.162,10200.0,5.32
2012-03-13,118.562,-37.162,10200.0,5.27
2012-03-14,118.562,-37.162,10200.0,5.25
2012-03-15,118.562,-37.162,10200.0,5.25
2012-03-16,118.562,-37.162,10200.0,5.27
2012-03-17,118.562,-37.162,10200.0,5.69
2012-03-18,118.562,-37.162,10200.0,7.0
2012-03-19,118.562,-37.162,10200.0,7.04
2012-03-20,118.562,-37.162,10200.0,7.04
2012-03-21,118.562,-37.162,10200.0,7.06
2012-03-22,118.562,-37.162,10200.0,7.04
2012-03-23,118.562,-37.162,10200.0,7.04
2012-03-24,118.562,-37.162,10200.0,6.95
2012-03-25,118.562,-37.162,10200.0,6.91
2012-03-26,118.562,-37.162,10200.0,6.9
2012-03-27,118.562,-37.162,10200.0,6.86
2012-03-28,118.562,-37.162,10200.0,6.86
2012-03-29,118.562,-37.162,10200.0,6.88
2012-03-30,118.562,-37.162,10200.0,6.93
2012-03-31,118.562,-37.162,10200.0,6.99
2012-04-01,118.562,-37.162,10200.0,7.03
2012-04-02,118.562,-37.162,10200.0,7.04
2012-04-03,118.562,-37.162,10200.0,7.0
2012-04-04,118.562,-37.162,10200.0,7.0
2012-04-05,118.562,-37.162,10200.0,7.0
2012-04-06,118.562,-37.162,10200.0,7.0
2012-04-07,118.562,-37.162,10200.0,7.0
2012-04-08,118.562,-37.162,10200.0,7.0
2012-04-09,118.562,-37.162,10200.0,7.0
2012-04-10,118.562,-37.162,10200.0,6.66
2012-04-11,118.562,-37.162,10200.0,6.48
2012-04-12,118.562,-37.162,10200.0,6.49
2012-04-13,118.562,-37.162,10200.0,6.79
2012-04-14,118.562,-37.162,10200.0,7.5
2012-04-15,118.562,-37.162,10200.0,7.59
2012-04-16,118.562,-37.162,10200.0,7.52
2012-04-17,118.562,-37.162,10200.0,7.22
2012-04-18,118.562,-37.162,10200.0,7.0
2012-04-19,118.562,-37.162,10200.0,6.7
2012-04-20,118.562,-37.162,10200.0,6.11
2012-04-21,118.562,-37.162,10200.0,5.33
2012-04-22,118.562,-37.162,10200.0,4.44
2012-04-23,118.562,-37.162,10200.0,3.44
2012-04-24,118.562,-37.162,10200.0,2.72
2012-04-25,118.562,-37.162,10200.0,1.88
2012-04-26,118.562,-37.162,10200.0,1.0
2012-04-27,118.562,-37.162,10200.0,0.2
2012-04-28,118.562,-37.162,10200.0,0.0
2012-04-29,118.562,-37.162,10200.0,0.0
2012-04-30,118.562,-37.162,10200.0,0.0
2012-05-01,118.562,-37.162,10200.0,0.0
2012-05-02,118.562,-37.162,10200.0,0.0
2012-05-03,118.562,-37.162,10200.0,0.0
2012-05-04,118.562,-37.162,10200.0,0.0
2012-05-05,118.562,-37.162,10200.0,0.0
2012-05-06,118.562,-37.162,10200.0,0.0
2012-05-07,118.562,-37.162,10200.0,0.0
2012-05-08,118.562,-37.162,10200.0,0.0
2012-05-09,118.562,-37.162,10200.0,0.0
2012-05-10,118.562,-37.162,10200.0,0.0
2012-05-11,118.562,-37.162,10200.0,0.0
2012-05-12,118.562,-37.162,10200.0,0.0
2012-05-13,118.562,-37.162,10200.0,0.0
2012-05-14,118.562,-37.162,10200.0,0.0
2012-05-15,118.562,-37.162,10200.0,0.0
2012-05-16,118.562,-37.162,10200.0,0.0
2012-05-17,118.562,-37.162,10200.0,0.0
2012-05-18,118.562,-37.162,10200.0,0.0
2012-05-19,118.562,-37.162,10200.0,0.0
2012-05-20,118.562,-37.162,10200.0,0.0
2012-05-21,118.562,-37.162,10200.0,0.0
2012-05-22,118.562,-37.162,10200.0,0.0
2012-05-23,118.562,-37.162,10200.0,0.0
2012-05-24,118.562,-37.162,10200.0,0.0
2012-05-25,118.562,-37.162,10200.0,0.0
2012-05-26,118.562,-37.162,10200.0,0.0
2012-05-27,118.562,-37.162,10200.0,0.0
2012-05-28,118.562,-37.162,10200.0,0.0
2012-05-29,118.562,-37.162,10200.0,0.0
2012-05-30,118.562,-37.162,10200.0,0.0
2012-05-31,118.562,-37.162,10200.0,0.0
2012-06-01,118.562,-37.162,10200.0,0.0
